S2_B1,S2_B2,S2_B4,S2_B11,S2_B12,ARVI,CI,DVI,GEMI,GNDVI,IPVI,IRECI,MCARI,MSAVI,MSAVI2,NDVI,NDWI2,PSSRA,RI,RVI,SAVI,3_45_9,3_90_12,3_90_63,5_90_21,5_90_62,7_90_15,7_45_19,9_180_12,9_45_97,9_90_11,9_90_59,11_135_1,13_90_59,15_135_97,15_45_1,15_45_19,15_45_59,15_45_81,15_90_13,15_90_31,15_90_59,15_90_64,15_180_59,Label 
0.0327,0.0445,0.0904,0.2135,0.1545,0.02816,0.22162,0.0538,0.39029,0.42914,0.61466,0.07573,0.00013,0.08778,0.58977,0.22933,-0.42914,1.67367,42.76313,1.59513,0.10986,4.22222,0.88889,0.1358,0.96,2.71247,0.15785,0.48691,0.59259,9.08642,0.69259,0.52912,6.79339,0.51366,7.36889,5.96889,0.57563,0.43123,2,0.55556,0.03206,0.52064,0.72095,0.62275,2
0.0209,0.0265,0.05,0.1229,0.0727,0.23676,0.13895,0.0691,0.38946,0.51816,0.70432,0.10327,0.00022,0.11988,0.62404,0.40863,-0.51816,2.348,46.28761,2.382,0.15491,2,0,1,0.08,0.27877,0.70929,0.88776,0.12346,3.8642,0.94444,0.83333,3.90909,0.77633,3.80889,3.93333,0.80889,0.67778,1.29333,0.20444,0.23042,0.76311,0.81414,0.75067,7
0.0378,0.0525,0.1142,0.2939,0.1945,0.17224,0.17188,0.1349,0.5309,0.51061,0.68566,0.18951,0.00066,0.20138,0.70933,0.37132,-0.51061,2.14623,24.81485,2.18126,0.23439,4.77778,0.55556,0.23457,0.52,2.37699,0.21866,0.63469,0.4321,12.44444,0.77037,0.62418,8.71074,0.57618,12.07111,8.49333,0.55804,0.42623,2.08,0.56889,0.03257,0.55507,0.85329,0.65422,6
0.0282,0.0293,0.0577,0.18,0.1119,0.33074,0.12039,0.1135,0.48097,0.58152,0.74792,0.16695,0.00095,0.18906,0.69843,0.49585,-0.58152,2.87695,35.81436,2.96707,0.23357,2.55556,0.55556,0.48148,0.48,1.69926,0.18451,0.7,0.34568,6.24691,0.75679,0.66296,5.54545,0.60449,5.68889,5.33333,0.68756,0.56382,1.73333,0.43111,0.0771,0.61048,0.74683,0.71778,7
0.0255,0.0319,0.066,0.161,0.1026,0.16199,0.22677,0.0728,0.41074,0.5388,0.67773,0.10996,0.00025,0.1224,0.62649,0.35547,-0.5388,2.19242,60.50732,2.10303,0.15494,2.77778,0.66667,0.11111,0.76,3.05252,0.11953,0.51224,0.53086,5.28395,0.72839,0.49259,4.29752,0.51447,4.81333,4.62667,0.59404,0.44797,1.70667,0.59111,0.05533,0.50871,0.90122,0.64141,7
0.0295,0.0458,0.1055,0.2241,0.1514,0.03898,0.23392,0.0731,0.43037,0.46333,0.62865,0.08706,-0.00001,0.11491,0.61798,0.2573,-0.46333,1.62464,39.60784,1.69289,0.13984,5.44444,0.77778,0.11111,1.36,3.05252,0.05456,0.54202,48.07407,10.95062,0.5037,0.36522,8.30579,0.44905,10.30667,8.32444,0.60555,0.49383,2.46667,1.55556,0.02432,0.48039,0.90061,0.59265,6
0.023,0.0249,0.0531,0.1543,0.0992,0.28871,0.20272,0.0942,0.44174,0.61425,0.73503,0.13363,0.00066,0.16006,0.66709,0.47006,-0.61425,2.75706,64.6489,2.77401,0.20174,2.11111,0.22222,0.16049,0.44,2.61973,0.19617,0.67347,0.51852,7.04938,0.83951,0.60566,5.75207,0.62875,8.14667,5.60444,0.72711,0.55296,3.09778,0.30222,0.05596,0.62159,0.72102,0.65652,7
0.0206,0.032,0.0623,0.1497,0.0954,0.21559,0.16776,0.0812,0.42403,0.52741,0.69728,0.11665,0.00021,0.13672,0.64181,0.39456,-0.52741,2.2809,44.34322,2.30337,0.17257,2.55556,0.55556,0.20988,0.4,2.24793,0.38359,0.76939,0.30864,4.23457,0.90123,0.66986,3.43802,0.63086,3.87111,3.44444,0.79822,0.5661,1.82222,0.19556,0.13809,0.61784,0.63014,0.64959,6
0.012,0.0124,0.02,0.0697,0.0406,0.36111,0.22324,0.0388,0.27925,0.64476,0.74619,0.10888,0.00036,0.07269,0.57439,0.49239,-0.64476,4.21,195.27602,2.94,0.10055,0.77778,0.33333,0.18519,0.2,2.43521,0.29779,0.82653,0.25926,1.23457,0.87654,0.55134,1,0.59029,1.29333,1.12444,0.82222,0.51498,1.39111,0.2,0.26748,0.58248,0.83257,0.60426,7
0.0411,0.0575,0.1212,0.2726,0.1697,0.19381,0.14718,0.1526,0.55629,0.50481,0.69316,0.22539,0.00116,0.22293,0.73198,0.38633,-0.50481,2.2698,20.08311,2.25908,0.25575,5,0.66667,0.28395,0.48,1.71782,0.18034,0.67347,0.40741,10.12346,0.6963,0.78395,8.90909,0.67939,10.09778,8.88445,0.56608,0.58299,2.31556,0.84,0.04348,0.61509,0.7676,0.76089,6
0.0463,0.0854,0.1714,0.2837,0.2129,0.04772,0.15538,0.1118,0.48246,0.38654,0.62297,0.09244,-0.00003,0.15517,0.65886,0.24593,-0.38654,1.42999,14.93374,1.65228,0.17568,7.88889,0.88889,0.16049,0.96,2.75433,0.1087,0.55225,1.08642,11.8642,0.71481,0.55258,10.80165,0.56056,10.94667,10.49333,0.54308,0.41881,2,0.68,0.02929,0.54442,0.86979,0.57409,6
0.0299,0.0409,0.0778,0.233,0.1428,0.347,0.1366,0.1588,0.56548,0.60027,0.75254,0.27642,0.00177,0.24844,0.76228,0.50509,-0.60027,3.16967,29.32221,3.04113,0.29249,4,0.44444,0.25926,0.48,1.74609,0.23199,0.65918,0.39506,7.32099,0.80247,0.63827,5.95041,0.60237,6.46667,5.95111,0.712,0.48842,1.92,0.35111,0.07105,0.58115,0.66248,0.60026,7
0.043,0.0492,0.0863,0.233,0.1649,0.16846,0.1281,0.0871,0.44847,0.4444,0.66769,0.19378,0.00191,0.14013,0.64494,0.33539,-0.4444,2.62225,25.09829,2.00927,0.17198,4.55556,0.88889,0.11111,1.2,2.97614,0.07122,0.38194,1.02469,9.75309,0.6,0.36652,9.90909,0.41069,10.05778,9.70222,0.42268,0.29414,2.03111,0.81778,0.02748,0.41476,0.79909,0.50801,2
0.0345,0.0401,0.0819,0.2425,0.1665,0.18052,0.18524,0.0963,0.46282,0.51983,0.68512,0.13407,0.00047,0.15522,0.66114,0.37024,-0.51983,2.17338,37.58743,2.17582,0.19004,4,0.44444,0.16049,0.28,2.51159,0.19783,0.69796,0.44444,10.65432,0.84568,0.64986,8.56198,0.64081,10.99111,8.28889,0.69111,0.5278,2,0.40444,0.06145,0.64932,0.75281,0.63448,6
0.0377,0.0462,0.0878,0.2082,0.1365,0.25845,0.13583,0.1318,0.52433,0.53352,0.71438,0.22451,0.00041,0.20589,0.71539,0.42876,-0.53352,2.52164,25.86185,2.50114,0.24486,4.33333,0.33333,0.1358,0.72,2.69888,0.09871,0.58571,0.8642,9.46914,0.73333,0.60988,10.95868,0.57751,10.48444,11.11111,0.59359,0.51696,2.27111,0.58667,0.03779,0.60622,0.6924,0.60044,6
0.055,0.0863,0.1652,0.299,0.2324,0.02942,0.16997,0.0937,0.45878,0.37676,0.61047,0.11315,0.00002,0.13266,0.63558,0.22094,-0.37676,1.53935,16.95264,1.56719,0.15209,8.33333,2.33333,0.11111,1.04,2.78885,0.06206,0.5102,1.09877,14.32099,0.63457,0.55258,14.85124,0.55134,14.29333,14.46667,0.48448,0.46275,2.80444,0.85333,0.02914,0.56701,0.75551,0.61144,2
0.0455,0.0604,0.1218,0.2425,0.1757,0.08239,0.14797,0.0943,0.46753,0.41011,0.63954,0.12521,0.00025,0.14253,0.64672,0.27908,-0.41011,1.78407,20.08118,1.77422,0.16881,5.55556,0.66667,0.1358,0.8,2.34524,0.15035,0.65306,0.62963,10.79012,0.7642,0.59259,10.36364,0.61998,10.63555,10.44,0.60719,0.51882,2.48,0.51556,0.03546,0.60033,0.92058,0.5991,6
0.0383,0.0548,0.1267,0.285,0.204,-0.05163,0.24216,0.0524,0.39881,0.39704,0.58568,0.05538,-0.00003,0.08069,0.58213,0.17135,-0.39704,1.382,34.7548,1.41358,0.09754,5.11111,0.33333,0.1358,0.36,2.24793,0.20283,0.60408,0.37037,12.32099,0.8642,0.73086,8.45455,0.72722,11.99111,8.34667,0.68356,0.57393,2,0.32,0.08689,0.70933,0.88304,0.71956,2
0.0309,0.0416,0.0916,0.2143,0.148,0.08022,0.20685,0.0747,0.42868,0.46843,0.64482,0.07279,0.00008,0.12003,0.62357,0.28965,-0.46843,1.64301,38.45932,1.8155,0.14784,4.22222,0.77778,0.23457,1.12,2.6225,0.10204,0.48691,0.49383,9.40741,0.63704,0.46463,8.14876,0.4615,9.25333,8,0.51872,0.43844,2,0.74222,0.02586,0.48681,0.90298,0.65893,2
0.0229,0.0503,0.102,0.2091,0.1334,0.21401,0.1033,0.1354,0.53174,0.48236,0.69947,0.17477,0.00045,0.20611,0.71495,0.39894,-0.48236,2.16373,18.26151,2.32745,0.24196,4.22222,0.88889,0.1358,0.92,2.83071,0.10537,0.53794,0.46914,6.50617,0.71481,0.48664,5.96694,0.49394,6.12444,6.2,0.59749,0.43276,1.86667,0.50667,0.04668,0.52816,0.87156,0.62852,6
0.0305,0.0427,0.0829,0.2202,0.1277,0.31152,0.08013,0.1516,0.55505,0.5372,0.73882,0.24355,0.00181,0.23606,0.7484,0.47763,-0.5372,2.89264,19.52967,2.82871,0.2782,3.88889,0.33333,0.4321,0.36,2.06798,0.23532,0.67347,0.83951,7.35802,0.78889,0.62709,6.78512,0.58169,6.97333,6.48,0.55777,0.42627,1.94667,0.55111,0.06686,0.57388,0.74542,0.60816,6
0.0204,0.0245,0.0423,0.1113,0.0688,0.31898,0.16529,0.0741,0.39153,0.58691,0.73346,0.12187,0.00035,0.13005,0.635,0.46692,-0.58691,2.85106,64.32104,2.75177,0.16874,1.88889,0.11111,0.1358,0.28,2.58798,0.64348,0.78571,0.24691,3.37037,0.90123,0.63282,3.49587,0.63644,2.91556,3.32,0.83556,0.57448,1.32,0.26667,0.22193,0.61278,0.80357,0.66178,7
0.0323,0.0361,0.0653,0.1878,0.1369,0.21217,0.10304,0.0801,0.42412,0.46499,0.69008,0.1336,0.00165,0.13424,0.6391,0.38016,-0.46499,2.52833,28.48018,2.22665,0.16906,4.22222,4.77778,0.20988,1.64,2.80978,0.06539,0.45199,0.69136,7.18519,0.53377,0.40833,8.01653,0.44505,7.76444,8.57333,0.49542,0.39566,2,1.14222,0.02657,0.44067,0.70389,0.61333,7
0.0198,0.0254,0.0483,0.1109,0.0653,0.29048,0.13781,0.0812,0.41214,0.5593,0.72835,0.12418,0.00041,0.1403,0.6459,0.45669,-0.5593,2.66874,47.58292,2.68116,0.1797,2,0,0.18519,0.28,2.05787,0.8459,0.88776,0.09877,3.30864,0.95679,0.68148,3.80165,0.6787,3.79111,3.76,0.87733,0.62044,1.89333,0.17778,0.33499,0.67911,0.80552,0.73333,7
0.0152,0.0158,0.0226,0.0768,0.0403,0.58357,0.03908,0.0892,0.39913,0.685,0.83185,0.24231,0.00025,0.16152,0.66919,0.66369,-0.685,5.43805,55.94715,4.9469,0.21091,0.88889,0.33333,0.1358,0.36,2.92069,0.84673,0.80612,0.08642,1.75309,0.95679,0.44685,2.16529,0.49901,2.03111,2.24,0.85156,0.49302,1.25333,0.15111,0.45268,0.52281,0.73321,0.61573,7
0.0317,0.0432,0.0873,0.1786,0.1373,-0.02737,0.17103,0.0371,0.35704,0.3362,0.58762,0.06339,0.00026,0.06152,0.56255,0.17525,-0.3362,1.6197,32.28963,1.42497,0.07819,4.11111,0.33333,0.18519,0.64,2.37976,0.16285,0.62245,0.46914,6.79012,0.82346,0.67531,6.71901,0.67219,6.72444,6.46667,0.74533,0.60541,2,0.33333,0.11155,0.66622,0.70085,0.69822,2
0.0232,0.0287,0.0513,0.1524,0.1042,0.22496,0.11039,0.0655,0.38345,0.47942,0.69482,0.12658,0.00122,0.11361,0.61736,0.38965,-0.47942,2.8694,37.90611,2.2768,0.14706,2.66667,1.44444,0.11111,1.04,2.78885,0.10287,0.56531,0.39506,4.53086,0.70494,0.53103,4.49587,0.5352,4.27556,4.82667,0.59341,0.42647,1.70667,0.57333,0.06603,0.51363,0.83448,0.55801,7
0.0343,0.0531,0.1082,0.26,0.185,0.1096,0.16219,0.0953,0.4682,0.44583,0.65287,0.11567,0.0005,0.14711,0.65185,0.30574,-0.44583,1.84843,24.67009,1.88078,0.17611,5,0.44444,0.1358,0.76,2.99707,0.14036,0.48487,0.60494,9.50617,0.73951,0.54194,7.21488,0.5776,8.48889,6.72,0.56159,0.46795,2.06667,0.47111,0.05213,0.57962,0.71845,0.62648,6
0.0307,0.0368,0.0797,0.2183,0.1443,0.22257,0.14759,0.1131,0.49103,0.53016,0.70752,0.15339,0.00118,0.18116,0.68904,0.41505,-0.53016,2.40025,30.61621,2.41907,0.21961,3.44444,0.44444,0.28395,0.68,2.19981,0.09954,0.62077,0.69136,8.46914,0.6358,0.59208,6.86777,0.52468,8.17333,6.66667,0.56991,0.50284,2,0.74667,0.02957,0.53421,0.82802,0.63404,6
0.0145,0.0162,0.0236,0.0746,0.0399,0.59871,0.01505,0.0999,0.42317,0.68716,0.83956,0.22654,0.0003,0.17944,0.68881,0.67913,-0.68716,5.15254,46.37861,5.23305,0.23157,1,0,0.16049,0.12,2.2762,0.96002,0.87755,0.02469,1.53086,0.98765,0.57778,2,0.59739,1.76889,2.08,0.86222,0.5759,1.6,0.09333,0.58416,0.60248,0.72303,0.736,7
0.0192,0.0175,0.0315,0.0773,0.0442,0.31269,0.16451,0.0554,0.33744,0.58721,0.73395,0.09641,0.00015,0.10041,0.60352,0.46791,-0.58721,2.77143,85.95988,2.75873,0.13438,1.22222,0.22222,0.11111,0.68,3.08704,0.1995,0.62857,0.67901,2.95062,0.72346,0.45298,3.38843,0.46413,3.28,3.52,0.63956,0.44586,1.84,0.63111,0.09997,0.48283,0.54083,0.51846,7
0.0195,0.0253,0.0434,0.1236,0.0778,0.34365,0.12874,0.0825,0.40988,0.57967,0.74365,0.16636,0.00047,0.14377,0.64972,0.4873,-0.57967,3.17512,50.10085,2.90092,0.18489,2,0,0.20988,0.44,2.27968,0.40858,0.82653,0.24691,3.8642,0.84568,0.64074,3.13223,0.63679,3.65333,3.13333,0.77867,0.53502,1.79556,0.24,0.16638,0.62825,0.70187,0.66452,7
0.0331,0.0817,0.1505,0.2445,0.1715,0.01505,0.14536,0.0755,0.43524,0.33609,0.60027,0.08379,-0.00001,0.11047,0.61275,0.20053,-0.33609,1.43854,15.99314,1.50166,0.12921,6.66667,1.11111,0.1358,1.4,2.80978,0.05456,0.43147,0.79012,7.5679,0.62048,0.5069,6.7686,0.52802,7.03556,6.59111,0.56311,0.447,2,0.71556,0.02918,0.50798,0.74558,0.64267,6
0.0255,0.0388,0.0766,0.1685,0.1051,0.20776,0.13903,0.0978,0.46313,0.50151,0.69482,0.15023,0.00073,0.15895,0.66527,0.38964,-0.50151,2.35117,30.22887,2.27676,0.19534,3.22222,0.77778,0.18519,0.64,2.51159,0.10621,0.6563,0.60494,5.83951,0.65062,0.52938,5.27273,0.50555,5.44889,4.86667,0.6183,0.46877,2,0.60444,0.04514,0.48505,0.69746,0.57426,6
0.0158,0.0212,0.0368,0.103,0.0603,0.43897,0.10511,0.0976,0.43349,0.63703,0.78505,0.19412,0.00057,0.1708,0.67914,0.57009,-0.63703,3.7663,51.17369,3.65217,0.21812,1.44444,0.44444,0.20988,0.64,2.84431,0.18701,0.66567,0.2963,2.18519,0.76122,0.41425,2.24793,0.4435,2.20889,2.36,0.76425,0.44557,1.27556,0.37333,0.17634,0.45356,0.65515,0.55847,7
0.0229,0.0253,0.0541,0.1404,0.0929,0.20556,0.17481,0.0717,0.39867,0.53602,0.69928,0.11752,0.00032,0.12326,0.62758,0.39855,-0.53602,2.42144,53.33887,2.32532,0.15819,2.66667,0.88889,0.20988,0.8,1.73419,0.17035,0.68367,0.38272,5.69136,0.73951,0.67901,4.33884,0.66129,5.92444,4.38667,0.68,0.6123,1.84,0.45778,0.05513,0.65048,0.805,0.69867,7
0.0211,0.0222,0.0396,0.136,0.0896,0.35666,0.1363,0.0806,0.40194,0.59947,0.75219,0.13333,0.00039,0.14166,0.6475,0.50438,-0.59947,3.11869,57.50304,3.03535,0.18324,2,0.22222,0.25926,0.52,2.09516,0.30862,0.67143,0.28395,4.88889,0.82716,0.76616,3.54545,0.73408,4.65333,3.69333,0.78622,0.61217,1.68,0.32444,0.15046,0.72604,0.80131,0.68756,7
0.0291,0.0356,0.0744,0.1795,0.1079,0.23358,0.18095,0.1078,0.47973,0.5586,0.71005,0.18244,0.00007,0.17482,0.6824,0.42011,-0.5586,2.41801,40.28996,2.44892,0.21372,2.66667,0.33333,0.16049,0.6,2.75433,0.22449,0.65918,0.4321,7.25926,0.78148,0.47901,5.1405,0.53206,7.47111,5.62667,0.62533,0.51574,2.10667,0.54222,0.03716,0.53386,0.85265,0.63367,7
0.0419,0.072,0.1718,0.4035,0.3004,-0.03704,0.23864,0.0804,0.43667,0.40973,0.59481,0.10137,0.00047,0.11366,0.6158,0.18962,-0.40973,1.52678,25.06424,1.46799,0.13052,7.22222,1.55556,0.18519,1.04,2.67795,0.08038,0.53878,0.34568,15.85185,0.59506,0.40516,10.61157,0.51314,15.58667,10.69333,0.58825,0.51172,2.92889,0.68889,0.04379,0.54515,0.71639,0.74133,2
0.0418,0.0686,0.1605,0.2671,0.2012,0.00532,0.16983,0.0946,0.46171,0.38266,0.61381,0.12762,-0.00001,0.13478,0.63787,0.22762,-0.38266,1.58941,17.43327,1.58941,0.15498,7,1.66667,0.18519,1.4,2.73063,0.05456,0.47697,1.25926,10.38272,0.59702,0.56812,9.82645,0.61608,10.29778,9.96,0.55497,0.48732,2,0.76889,0.02823,0.60541,0.7423,0.57875,7
0.0361,0.0454,0.0989,0.2536,0.1549,0.25767,0.13809,0.1593,0.56813,0.55029,0.72305,0.25076,0.00071,0.24033,0.75197,0.44609,-0.55029,2.54398,23.27808,2.61072,0.27879,4.22222,0.33333,0.20988,0.48,1.88875,0.16202,0.67467,0.54321,10.65432,0.7679,0.71605,8.43802,0.68284,10.92,8.74222,0.59397,0.53452,2.2,0.67111,0.03751,0.65493,0.73858,0.66186,7
0.0484,0.0787,0.1646,0.3475,0.2532,0.07854,0.1649,0.1286,0.50907,0.42607,0.64045,0.1584,0.00035,0.17846,0.68331,0.28091,-0.42607,1.71567,16.48974,1.78129,0.2014,7.88889,1,0.1358,1.36,2.97614,0.06372,0.35698,1.12346,12.85185,0.58025,0.41428,10.21488,0.42923,11.84,10.32,0.41555,0.34156,2.6,0.88889,0.0176,0.44648,0.78169,0.52347,6
0.03,0.0305,0.0445,0.1524,0.0947,0.53553,-0.0562,0.1489,0.53614,0.59046,0.81295,0.24698,0.00293,0.24925,0.76561,0.62589,-0.59046,4.38652,16.03364,4.34607,0.30268,4,1.11111,0.16049,0.92,2.53252,0.05956,0.45258,2.04938,4.32099,0.63036,0.49021,7.17355,0.48997,3.76,7.13778,0.5106,0.38514,1.52444,0.69333,0.05229,0.47979,0.80521,0.50442,7
0.037,0.0575,0.1136,0.2334,0.1724,0.02162,0.19642,0.0636,0.41589,0.39803,0.60935,0.07218,0.00004,0.09927,0.60153,0.21871,-0.39803,1.52289,29.05247,1.55986,0.12064,5.33333,0.33333,0.33333,0.36,1.54316,0.25531,0.85714,0.35802,10.04938,0.82963,0.79506,9.04132,0.72604,9.33333,8.38667,0.72222,0.65448,1.95556,0.43111,0.07204,0.71867,0.81413,0.76711,6
0.0344,0.0413,0.0941,0.264,0.1745,0.13051,0.23007,0.0969,0.46802,0.52861,0.66994,0.13062,0.0004,0.15294,0.65838,0.33988,-0.52861,2.03826,43.33447,2.02976,0.18514,3.88889,0.11111,0.23457,0.28,2.08686,0.27447,0.77551,0.37037,10.27161,0.83951,0.69753,7.22314,0.68911,10.28,7.16,0.64693,0.56847,2.19111,0.37333,0.07113,0.64042,0.79159,0.71778,2
0.037,0.056,0.1347,0.3302,0.236,0.00997,0.23352,0.083,0.4491,0.44459,0.61776,0.09706,0.00016,0.12381,0.62686,0.23553,-0.44459,1.6095,30.94276,1.61618,0.14606,5.33333,0.44444,0.25926,0.4,2.18971,0.21533,0.63878,0.48148,13.55556,0.82716,0.71111,8.35537,0.72781,12.97333,8.16,0.69378,0.65004,2.53778,0.31111,0.07575,0.74311,0.90028,0.72622,2
0.0328,0.0305,0.0391,0.1417,0.0664,0.70994,-0.05097,0.2421,0.68433,0.73313,0.87793,0.50882,0.00179,0.38869,0.92613,0.75585,-0.73313,6.44757,18.83171,7.19182,0.4427,2.33333,1.11111,0.11111,0.8,3.21888,0.14619,0.59748,0.87654,4.58025,0.65723,0.34003,7.29752,0.3935,4.74222,7.52,0.59342,0.34513,1.86667,0.81333,0.04735,0.41628,0.78738,0.54539,7
0.029,0.0326,0.0582,0.1653,0.0913,0.45336,0.05626,0.1646,0.56939,0.62154,0.79288,0.30993,0.00143,0.26597,0.78321,0.58577,-0.62154,3.81271,24.08995,3.82818,0.31613,3.33333,3.11111,0.16049,0.84,2.45614,0.20033,0.58884,0.64198,4.90123,0.73529,0.51431,6.61983,0.49201,5.13778,6.45333,0.61692,0.47904,1.89333,0.66667,0.05493,0.50786,0.75062,0.55382,7
0.0164,0.0208,0.0362,0.1606,0.0796,0.60939,-0.0203,0.1764,0.57896,0.69876,0.8545,0.45432,0.00119,0.29568,0.8189,0.709,-0.69876,6.16575,24.45643,5.87293,0.35337,1.22222,0.33333,0.20988,0.08,2.69888,0.34361,0.92857,0.28395,4.09877,0.87654,0.59259,2.54545,0.54959,4.15556,2.63111,0.82933,0.48983,1.85333,0.28444,0.19313,0.54169,0.82533,0.59048,7
0.0242,0.0242,0.0329,0.1188,0.0698,0.55932,0.01231,0.1143,0.46272,0.64194,0.81732,0.20469,0.0011,0.19972,0.711,0.63465,-0.64194,4.48632,32.72479,4.47416,0.2521,1.77778,2.33333,0.23457,0.96,2.60891,0.23865,0.60732,0.76543,3.34568,0.74198,0.42633,4.30579,0.46704,3.23111,4.34667,0.75893,0.4147,1.13333,0.44889,0.11328,0.48705,0.927,0.60782,7
0.0209,0.0265,0.0532,0.1894,0.1083,0.44839,0.1153,0.1566,0.55402,0.66508,0.79772,0.32582,0.00092,0.25662,0.7732,0.59544,-0.66508,4.06391,37.6605,3.94361,0.30786,2.11111,0.11111,0.16049,0.32,1.98767,0.29863,0.67143,0.45679,5.88889,0.87284,0.74938,4.44628,0.70592,5.97778,4.41333,0.78293,0.64248,1.58667,0.24444,0.19601,0.70267,0.72796,0.69778,7
0.0273,0.0279,0.0535,0.154,0.094,0.31128,0.14439,0.0971,0.44758,0.58027,0.73787,0.16544,0.00102,0.16458,0.67198,0.47575,-0.58027,3.06916,44.72267,2.81495,0.20686,2.88889,1.44444,0.16049,0.8,2.80978,0.09954,0.67959,0.37037,5.1358,0.68025,0.47923,5.69422,0.51488,4.88445,5.83556,0.67296,0.5513,1.70667,0.58222,0.04992,0.50939,0.92318,0.65087,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0.0416,0.0582,0.1114,0.3013,0.2107,0.06023,0.20108,0.0743,0.43368,0.42956,0.62504,0.09277,0.00014,0.1156,0.61862,0.25008,-0.42956,1.68223,30.50111,1.66697,0.13982,5.55556,0.66667,0.4321,0.2,1.56158,0.212,0.74898,0.37037,12.32099,0.77037,0.73827,10.71901,0.66982,12.60444,10.55556,0.71733,0.64967,2,0.45778,0.09416,0.67867,0.80573,0.76622,2
0.036,0.051,0.0926,0.2135,0.134,0.24691,0.12652,0.1296,0.52163,0.51156,0.70584,0.22379,0.00036,0.20108,0.70998,0.41169,-0.51156,2.44384,23.16587,2.39957,0.23859,3.77778,0.66667,0.1358,0.6,2.40069,0.12037,0.67143,0.53086,8.1358,0.72716,0.59136,8.21488,0.55799,8.57778,7.74667,0.6277,0.41772,1.94667,0.58222,0.03392,0.54408,0.87639,0.56497,7
0.0434,0.0553,0.1115,0.2861,0.1839,0.254,0.14535,0.1704,0.5834,0.54423,0.71657,0.24054,0.00152,0.25019,0.76174,0.43315,-0.54423,2.44305,21.58638,2.52825,0.2861,6.22222,1.77778,0.28395,0.64,2.36965,0.08455,0.54934,0.81481,11.2963,0.67407,0.6963,10.8595,0.70118,10.29333,10.42222,0.64586,0.55786,2,0.58222,0.03056,0.67022,0.71352,0.64444,7
0.0302,0.0378,0.0669,0.1957,0.1115,0.39451,0.10123,0.1542,0.55535,0.60392,0.76771,0.29734,0.00106,0.24665,0.76112,0.53542,-0.60392,3.36921,27.49631,3.30493,0.29353,3.44444,0.33333,0.1358,0.4,2.4879,0.29946,0.79184,0.40741,6.41975,0.78889,0.65432,7.1157,0.61657,6.31555,7.08,0.69404,0.53882,2,0.41333,0.1198,0.63333,0.69789,0.61022,7
0.0286,0.0364,0.0599,0.1717,0.0921,0.50194,0.03903,0.1916,0.61289,0.63897,0.80764,0.33926,0.00122,0.30388,0.82541,0.61529,-0.63897,3.84474,21.10204,4.19866,0.3542,3.22222,0.44444,0.1358,0.4,2.37699,0.34277,0.81633,0.2963,5.25926,0.85432,0.62665,6,0.57003,5.41778,6,0.77644,0.47774,1.77778,0.31556,0.10925,0.56939,0.74215,0.59315,7
0.024,0.0275,0.0503,0.1902,0.1065,0.49148,0.10793,0.1641,0.56532,0.68223,0.80997,0.32412,0.00126,0.26926,0.78759,0.61995,-0.68223,4.32207,38.08648,4.26243,0.32189,2.11111,0.11111,0.18519,0.28,2.06064,0.32611,0.85714,0.39506,6.06173,0.84568,0.6138,5.09091,0.5666,6.42222,5.10667,0.83111,0.49022,1.98667,0.27556,0.18033,0.55696,0.66315,0.56682,7
0.0292,0.0258,0.0435,0.1416,0.0756,0.45721,0.09434,0.1208,0.48447,0.64054,0.79066,0.26276,0.00103,0.20587,0.71743,0.58133,-0.64054,4.25287,40.5575,3.77701,0.256,2,0,0.16049,0.2,2.52519,0.48438,0.78367,0.19753,5.37037,0.80494,0.41496,6.04959,0.48535,7.28889,6.90667,0.71511,0.51211,2,0.41333,0.0483,0.51929,0.87205,0.728,7
0.0295,0.0499,0.104,0.2908,0.2205,0.05329,0.23515,0.0719,0.42791,0.464,0.62844,0.09241,0.00016,0.11338,0.6164,0.25688,-0.464,1.74712,40.4957,1.69135,0.13829,4.77778,0.44444,0.18519,0.64,2.49066,0.14202,0.66327,0.53086,9.83951,0.7358,0.58417,6.47934,0.57027,8.77778,6.50667,0.65556,0.47748,2.14222,0.49778,0.05746,0.56282,0.77128,0.63353,2
0.0234,0.0286,0.0439,0.1567,0.0821,0.62437,-0.0157,0.2121,0.6403,0.6993,0.85362,0.43747,0.00185,0.343,0.87216,0.70724,-0.6993,5.54442,20.73168,5.83143,0.39774,2.33333,0.11111,0.1358,0.36,2.56705,0.27947,0.77959,0.30864,5.81481,0.85679,0.59898,6.15702,0.51001,5.68444,5.54667,0.73111,0.44696,1.58667,0.39111,0.06876,0.50627,0.84136,0.57421,7
0.0258,0.0227,0.0318,0.1155,0.0611,0.57835,0.00157,0.1213,0.47533,0.65693,0.82802,0.2763,0.00089,0.2116,0.72422,0.65603,-0.65693,5.31132,31.74509,4.81447,0.26566,1.88889,0.22222,0.11111,0.28,2.94162,0.55269,0.72372,0.59259,4.03704,0.81427,0.434,5.57025,0.4423,4.87556,5.98667,0.6603,0.37006,1.70667,0.64,0.09527,0.45579,0.66243,0.50059,7
